source,target,value
﻿,﻿,﻿
﻿,t,t
﻿,t+2,t+2
﻿,t+2,t+2
﻿,t+3,t+3
﻿,t+4,t+4
﻿,t+6,t+6
﻿,t+7,t+7
﻿,t+8,t+8
﻿,t+9,t+9
﻿,t+10,t+10
Center of gravity,﻿,Center of gravity
Center of gravity,t,100
Center of gravity,t+2,100
Center of gravity,t+2,100
Center of gravity,t+3,116
Center of gravity,t+4,124
Center of gravity,t+6,100
Center of gravity,t+7,100
Center of gravity,t+8,100
Center of gravity,t+9,100
Center of gravity,t+10,100
Rotational motion at constant angular acceleration,﻿,Rotational motion at constant angular acceleration
Rotational motion at constant angular acceleration,t,20
Rotational motion at constant angular acceleration,t+2,20
Rotational motion at constant angular acceleration,t+2,20
Rotational motion at constant angular acceleration,t+3,36
Rotational motion at constant angular acceleration,t+4,44
Rotational motion at constant angular acceleration,t+6,57.2
Rotational motion at constant angular acceleration,t+7,57.2
Rotational motion at constant angular acceleration,t+8,57.2
Rotational motion at constant angular acceleration,t+9,67.88
Rotational motion at constant angular acceleration,t+10,67.88
Gravitational field,﻿,Gravitational field
Gravitational field,t,20
Gravitational field,t+2,20
Gravitational field,t+2,20
Gravitational field,t+3,36
Gravitational field,t+4,44
Gravitational field,t+6,57.2
Gravitational field,t+7,57.2
Gravitational field,t+8,57.2
Gravitational field,t+9,67.88
Gravitational field,t+10,67.88
Rotational motion on horizontal and vertical planes,﻿,Rotational motion on horizontal and vertical planes
Rotational motion on horizontal and vertical planes,t,20
Rotational motion on horizontal and vertical planes,t+2,20
Rotational motion on horizontal and vertical planes,t+2,20
Rotational motion on horizontal and vertical planes,t+3,36
Rotational motion on horizontal and vertical planes,t+4,44
Rotational motion on horizontal and vertical planes,t+6,57.2
Rotational motion on horizontal and vertical planes,t+7,57.2
Rotational motion on horizontal and vertical planes,t+8,57.2
Rotational motion on horizontal and vertical planes,t+9,67.88
Rotational motion on horizontal and vertical planes,t+10,67.88
Centripetal acceleration and centripetal force,﻿,Centripetal acceleration and centripetal force
Centripetal acceleration and centripetal force,t,20
Centripetal acceleration and centripetal force,t+2,20
Centripetal acceleration and centripetal force,t+2,20
Centripetal acceleration and centripetal force,t+3,36
Centripetal acceleration and centripetal force,t+4,44
Centripetal acceleration and centripetal force,t+6,57.2
Centripetal acceleration and centripetal force,t+7,57.2
Centripetal acceleration and centripetal force,t+8,57.2
Centripetal acceleration and centripetal force,t+9,67.88
Centripetal acceleration and centripetal force,t+10,67.88
Escape velocity,﻿,Escape velocity
Escape velocity,t,20
Escape velocity,t+2,20
Escape velocity,t+2,20
Escape velocity,t+3,36
Escape velocity,t+4,44
Escape velocity,t+6,57.2
Escape velocity,t+7,57.2
Escape velocity,t+8,57.2
Escape velocity,t+9,67.88
Escape velocity,t+10,67.88
"Work, kinetic energy and potential energy",﻿,"Work, kinetic energy and potential energy"
"Work, kinetic energy and potential energy",t,20
"Work, kinetic energy and potential energy",t+2,20
"Work, kinetic energy and potential energy",t+2,20
"Work, kinetic energy and potential energy",t+3,100
"Work, kinetic energy and potential energy",t+4,100
"Work, kinetic energy and potential energy",t+6,100
"Work, kinetic energy and potential energy",t+7,100
"Work, kinetic energy and potential energy",t+8,100
"Work, kinetic energy and potential energy",t+9,100
"Work, kinetic energy and potential energy",t+10,100
Dynamics -Motion on inclined planes,﻿,Dynamics -Motion on inclined planes
Dynamics -Motion on inclined planes,t,20
Dynamics -Motion on inclined planes,t+2,20
Dynamics -Motion on inclined planes,t+2,20
Dynamics -Motion on inclined planes,t+3,60
Dynamics -Motion on inclined planes,t+4,80
Dynamics -Motion on inclined planes,t+6,99.8
Dynamics -Motion on inclined planes,t+7,99.8
Dynamics -Motion on inclined planes,t+8,99.8
Dynamics -Motion on inclined planes,t+9,100
Dynamics -Motion on inclined planes,t+10,100
Dynamics-Work-energy theorem,﻿,Dynamics-Work-energy theorem
Dynamics-Work-energy theorem,t,20
Dynamics-Work-energy theorem,t+2,20
Dynamics-Work-energy theorem,t+2,20
Dynamics-Work-energy theorem,t+3,60
Dynamics-Work-energy theorem,t+4,100
Dynamics-Work-energy theorem,t+6,100
Dynamics-Work-energy theorem,t+7,100
Dynamics-Work-energy theorem,t+8,100
Dynamics-Work-energy theorem,t+9,100
Dynamics-Work-energy theorem,t+10,100
Angular momentum,﻿,Angular momentum
Angular momentum,t,20
Angular momentum,t+2,20
Angular momentum,t+2,20
Angular momentum,t+3,36
Angular momentum,t+4,44
Angular momentum,t+6,57.2
Angular momentum,t+7,57.2
Angular momentum,t+8,57.2
Angular momentum,t+9,67.88
Angular momentum,t+10,67.88
Kinematics-Linear Motion,﻿,Kinematics-Linear Motion
Kinematics-Linear Motion,t,10
Kinematics-Linear Motion,t+2,10
Kinematics-Linear Motion,t+2,10
Kinematics-Linear Motion,t+3,34
