source,target,value
domain,domain,12
domain,principle,13
domain,equation,14
domain,calculation,15
domain,known,16
domain,unknown,17
principle,domain,13
principle,principle,14
principle,equation,15
principle,calculation,16
principle,known,17
principle,unknown,18
equation,domain,14
equation,principle,15
equation,equation,16
equation,calculation,17
equation,known,18
equation,unknown,19
calculation,domain,15
calculation,principle,16
calculation,equation,17
calculation,calculation,18
calculation,known,19
calculation,unknown,20
known,domain,16
known,principle,17
known,equation,18
known,calculation,19
known,known,20
known,unknown,21
unknown,domain,17
unknown,principle,18
unknown,equation,19
unknown,calculation,20
unknown,known,21
unknown,unknown,22
Linear Motion,Kinematics-Linear Motion,99999
Kinematics-Linear Motion,Equation of motion,999999
Linear Motion,Kinematics-Free Fall,99999
Linear Motion,Kinematics-Projectile Motion,99999
Linear Motion,Dynamics -Newton's Laws of Motion,99999
Dynamics -Newton's Laws of Motion,"Newton's 1st law, Newton's 2nd law, Newton's 3rd law",999999
Linear Motion,Dynamics -Motion on inclined planes,99999
Dynamics -Motion on inclined planes,Law of Conservation of energy,999999
Linear Motion,"Work, kinetic energy and potential energy",99999
"Work, kinetic energy and potential energy",Law of Conservation of energy,999999
Linear Motion,Dynamics-Work-energy theorem,99999
Dynamics-Work-energy theorem,Law of Conservation of energy,999999
Linear Motion,Dynamics-Conservation of energy,99999
Dynamics-Conservation of energy,Law of Conservation of energy,999999
Linear Motion,Dynamics-Power,99999
Dynamics-Power,Newton's 2nd law ,999999
Linear Motion,Dynamics-Linear momentum,99999
Dynamics-Linear momentum,conservation of momentum,999999
Linear Motion,Dynamics-Conservation of linear momentum and impulse,99999
Dynamics-Conservation of linear momentum and impulse,Impulse - momentum theorm,999999
Linear Motion,Dynamics-Elastic collision,99999
Dynamics-Elastic collision,"conservation of momentum, Law of Conservation of energy",999999
Linear Motion,Dynamics-Inelastic collision,99999
Dynamics-Inelastic collision,"conservation of momentum, Law of Conservation of energy",999999
Linear Motion,Dynamics-Collision in 2-dimension,99999
Dynamics-Collision in 2-dimension,conservation of momentum,999999
Rotational Motion,Angular displacement,99999
Rotational Motion,Velocity and acceleration,99999
Rotational Motion,Relation between rotational motion and linear motion,99999
Relation between rotational motion and linear motion,Linear motion at constant acceleration,999999
Rotational Motion,Rotational motion at constant angular acceleration,99999
Rotational motion at constant angular acceleration,Equation of motion,999999
Rotational Motion,Centripetal acceleration and centripetal force,99999
Centripetal acceleration and centripetal force,Equation of motion,999999
Rotational Motion,Rotational motion on horizontal and vertical planes,99999
Rotational motion on horizontal and vertical planes,Equation of motion,999999
Rotational Motion,Conical pendulum,99999
Rotational Motion,Centre of mass and torque,99999
Rotational Motion,Moment of inertia and parallel axis theorem,99999
Rotational Motion,Rotational kinetic energy,99999
Rotational kinetic energy,"Equation of linear kinetic energy, Equation of rotational kinetic energy, Equation of initial potential energy ",999999
Rotational Motion,Angular momentum,99999
Angular momentum,Equation of angular momentum ,999999
Rotational Motion,Conservation of angular momentum,99999
Conservation of angular momentum,Law of conservation of angular momentum,999999
Gravitation,Newton's law of gravitation,99999
Newton's law of gravitation,Newton's Law of Gravitation,999999
Gravitation,Gravitational field,99999
Gravitation,Gravitational potential,99999
Gravitation,The motion of satellite,99999
Gravitation,Escape velocity,99999
Escape velocity, Conservation of energy,999999
Static,Centre of gravity,99999
Centre of gravity,"Equation of centre of Gravity, Condition of Equilibrium",999999
Static,Force equilibrium and torque equilibrium,99999
Force equilibrium and torque equilibrium,Equation of torque,999999
